
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
product,url,alert_price,price,alert
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,53,52.15,True
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,50,51.77,False
